id,sig
usp0009kx3,798
usp0009kz2,650
usp0009msf,711
usp0009n4c,670
usp0009nxg,776
usp0009p81,670
usp0009qb4,889
usp0009rrc,754
usp0009sbh,889
usp0009sd5,650
usp0009suu,798
usp0009txv,960
usp0009txx,691
usp0009u6r,691
usp0009ue0,670
usp0009urh,650
usp0009ut0,960
usp0009ux8,650
ak0008v7ic1n,650
usp0009wkp,670
usp0009xf4,650
usp0009xp4,670
usp0009xws,711
usp0009xzy,842
usp0009y2g,650
usp0009y65,650
usp0009yfk,670
usp0009z9y,711
usp000a14k,650
usp000a18v,754
usp000a1b0,691
usp000a2ck,711
usp000a2mw,754
usp000a345,711
usp000a373,650
usp000a3qq,985
usp000a3sp,936
usp000a3sq,650
usp000a45f,936
usp000a470,670
usp000a48b,711
usp000a4xu,711
usp000a4xv,650
usp000a5m7,754
usp000a5mp,650
usp000a68h,670
usp000a6e0,650
usp000a6ep,670
usp000a70h,865
usp000a70q,711
usp000a7cv,776
ak001gswxc7,745
usp000a7m5,912
usp000a7t0,732
usp000a8ds,912
usp000a9jv,670
usp000a9kc,842
usp000aa8b,776
usp000aake,691
uw10530748,1421
usp000abqh,650
usp000abyg,711
usp000acv4,691
usp000adkn,691
usp000ae2r,732
usp000afg1,691
usp000afyg,798
usp000agn9,650
official20010623203314130_33,1086
usp000ahfr,691
usp000ahx8,650
usp000ahyn,650
usp000aj1a,670
usp000aj40,889
usp000ak5s,650
ak0019lroivn,754
usp000akwv,691
usp000amsn,776
usp000ap03,650
usp000ap1d,650
usp000aqg8,650
usp000aqsu,754
usp000ar78,865
usp000araj,691
usp000arz5,754
usp000asvm,936
usp000atvy,650
usp000aufx,776
usp000ausw,711
usp000av52,711
usp000avpw,798
usp000avrk,670
usp000aw5z,691
usp000axp7,650
usp000axuy,670
usp000azhc,842
usp000azqw,865
usp000b17z,650
usp000b1e2,776
usp000b2mv,711
usp000b2p9,691
usp000b37m,776
usp000b628,670
usp000b6cd,691
usp000b6du,670
usp000b6pk,650
usp000b70m,650
usp000b73z,820
usp000b790,650
usp000b923,650
usp000b9w7,650
usp000ba6g,912
usp000ba6m,912
usp000bbpf,889
usp000bc65,650
usp000bdqx,650
usp000be54,889
usp000be5x,691
usp000bed7,732
ak002dlpsbnr,670
usp000bfuz,842
ak002e435qpj,1750
usp000bgz7,670
usp000bhrf,670
usp000bhv1,820
usp000bkjf,691
usp000bn1f,650
usp000bnbn,691
usp000bnvq,820
usp000bnx3,650
usp000bnyr,889
usp000br01,670
usp000bsdd,711
usp000bsvs,776
usp000btf5,650
usp000bvcx,650
usp000bwkr,691
usp000bx7j,691
usp000bxpg,711
usp000by66,754
usp000by7n,754
usp000by7z,732
usp000bz8p,670
usp000bzyd,650
usp000c01m,732
usp000c0ag,776
usp000c0bb,711
usp000c0rc,732
usp000c2k4,650
usp000c2ka,889
usp000c3f7,670
usp000c3fr,711
usp000c41f,889
usp000c5h6,798
usp000c87f,670
official20030925195006360_27,1024
usp000c8mb,842
usp000c8sz,820
usp000c90r,650
usp000c96t,691
usp000c9x7,691
usp000cbpa,754
usp000cc6u,670
usp000ccg3,670
usp000cd1n,936
usp000cdb4,650
usp000cdw2,670
usp000ceks,691
usp000cexg,711
usp000cfqj,670
nc21323712,1390
usp000cfzw,650
usp000cg1p,650
usp000cg2d,670
usp000cg55,711
usp000cg90,820
usp000cgae,691
usp000cgz9,776
usp000cjn2,691
usp000cjwh,691
usp000ckg7,754
usp000ckks,820
usp000ckq7,691
usp000cmqq,670
usp000crt6,670
usp000cs2y,650
usp000ct64,691
usp000cu1z,670
usp000cwj8,650
usp000cxkw,732
ak00489udzds,813
usp000d06s,776
usp000d0v4,820
usp000d0zn,650
usp000d30e,650
usp000d3ka,798
usp000d3mb,842
iscgem7398408,652
usp000d3qv,732
usp000d3sx,670
usp000d600,711
usp000d60h,665
usp000d63h,754
usp000d6dm,705
usp000d6vk,670
usp000d7h4,703
usp000d81v,732
usp000d855,691
usp000d85g,870
usp000d8gx,820
usp000d8nz,670
usp000d8ze,782
usp000d975,776
usp000d9f2,670
usp000d9h1,771
usp000da6m,724
usp000daqt,858
usp000db93,1009
official20041226005853450_30,1278
usp000dbg6,802
usp000dbj1,670
usp000dcbh,691
usp000dd5a,711
usp000ddgf,670
usp000ddrk,676
usp000dfhb,735
usp000dfj2,782
usp000dfqj,691
usp000dg73,652
usp000dgad,670
usp000dgfv,650
usp000dh0k,711
usp000dhc1,776
usp000djku,805
usp000djqf,732
official20050328160936530_30,1138
usp000dmtx,717
usp000dmu9,657
usp000dn1w,670
usp000dn2k,691
usp000dpzp,650
usp000dqkx,650
usp000dqs0,731
usp000dqxx,670
usp000dr4t,740
usp000dsw1,1041
usp000dszm,711
usp000dt25,1318
usp000dt8h,1150
usp000dubj,719
usp000dujc,693
usp000dvtc,808
usp000dxe2,1104
usp000dz2j,891
usp000e09h,1018
usp000e0h0,670
usp000e12e,1268
usp000e329,650
usp000e462,836
usp000e4cy,711
usp000e4gh,651
usp000e5c8,683
usp000e5jx,744
usp000e5zd,670
usp000e61s,721
usp000e62c,691
usp000e7dd,842
usp000e7f0,798
usp000e7jp,703
usp000e7u3,934
usp000e8ys,920
usp000e9aq,691
usp000eamh,891
usp000ec4d,691
usp000edbg,650
usp000edw9,654
usp000ef1h,889
usp000efs5,670
usp000efv7,696
usp000efw2,653
usp000eg5g,1013
usp000eh87,868
usp000eh8s,719
usp000ehph,670
usp000ej4t,650
usp000ekaq,650
usp000en5e,670
usp000ensm,947
usp000eqf9,713
usp000erc2,754
usp000erp5,650
usp000erpk,675
usp000es7n,711
usp000etzf,737
usp000eu5f,670
usp000eu7k,652
hv5532127,1481
usp000evbu,692
usp000evkn,732
usp000ewu6,670
usp000ex8r,718
usp000exfn,1064
usp000exg0,691
usp000f114,1023
usp000f115,798
usp000f1ab,670
usp000f2ab,1034
usp000f34b,874
usp000f3xh,732
usp000f3za,670
usp000f3zy,650
usp000f57a,691
usp000f7b4,779
usp000f7b5,782
usp000f7b9,732
usp000f83m,1026
usp000f83p,670
usp000f83w,732
usp000f8mu,650
usp000fbdn,650
usp000fdyv,972
usp000fepk,650
usp000ff08,691
usp000fg9t,831
usp000fgc3,779
usp000fh3s,734
usp000fhm9,803
usp000fhn5,691
usp000fj6k,865
usp000fjsq,650
usp000fjta,1395
usp000fjw7,675
usp000fkb6,650
usp000fm6b,798
usp000fmtk,747
official20070912111026830_34,1086
usp000fn2b,1133
usp000fn34,650
usp000fn3d,768
usp000fnrx,696
usp000fp59,713
usp000fp9t,650
usp000fpca,878
usp000fpg6,747
usp000fpgq,853
usp000fphp,683
usp000fpxf,650
usp000fqks,744
usp000fqqn,670
usp000fr6r,713
usp000frnh,809
usp000fs9s,670
usp000fshy,1010
usp000fsmf,716
usp000fsnz,790
usp000ft2k,722
usp000ft98,657
usp000ft9p,653
usp000ftdp,672
usp000ftj1,1542
usp000fu3q,954
usp000fujd,711
usp000fuse,799
usp000fuvt,809
usp000fw0w,671
usp000fwsh,650
usp000fyep,732
usp000fykt,670
usp000fyrt,725
usp000fyw4,941
usp000fywh,692
usp000fzau,915
usp000fzsd,711
usp000fzv0,654
usp000fzx4,832
usp000fzy8,674
usp000fzyk,696
usp000g0jk,650
usp000g0k9,740
usp000g1w2,798
usp000g3eq,820
usp000g3q9,776
usp000g41s,670
usp000g4r4,650
usp000g59v,670
usp000g5rx,910
usp000g5yf,742
usp000g650,1870
usp000g7ke,650
usp000g8aj,650
usp000g9h6,888
usp000gapt,680
usp000gazv,754
usp000gbc0,918
usp000gcjg,840
usp000gckc,670
usp000gczp,1046
usp000ge8h,650
usp000gfga,692
usp000ggp4,732
usp000ggsv,670
usp000ggu7,670
usp000ggu8,711
usp000ghyg,754
usp000gjd4,691
usp000gkde,731
usp000gkje,738
usp000gnur,848
usp000gpbs,825
usp000gq7y,711
usp000gs2d,918
usp000gs2v,765
usp000gs3t,846
usp000gsm5,691
usp000gsmz,848
usp000gstk,670
usp000gtnc,802
usp000gu5x,754
usp000gupr,650
usp000gv5p,916
usp000gvv4,732
usp000gw7m,691
usp000gwbe,670
usp000gx5u,654
usp000gxkj,1560
usp000gyhq,693
usp000gz8j,1165
usp000gzyb,1202
usp000h04j,1005
usp000h054,670
usp000h05x,1248
usp000h093,703
usp000h0ew,753
usp000h0gm,704
usp000h0y7,736
usp000h121,688
usp000h152,1177
usp000h1ys,1057
usp000h237,1649
usp000h24c,787
usp000h2c1,671
usp000h2g6,711
usp000h2g9,916
usp000h2gd,936
usp000h2gj,711
usp000h2gr,842
usp000h2js,711
usp000h2u7,650
usp000h3c5,972
usp000h3jp,711
usp000h3vc,677
usp000h3wn,820
usp000h401,701
usp000h44s,726
usp000h4cs,715
usp000h5nd,672
usp000h5np,780
usp000h5ra,711
usp000h5rn,713
nc71338066,1360
usp000h60h,1627
usp000h7dn,732
usp000h7qu,1180
official20100227063411530_30,2101
usp000h7sq,842
usp000h8pu,650
usp000h8rt,736
usp000h8s3,717
usp000h94t,1353
usp000h94v,897
usp000h9cg,810
usp000h9fs,856
usp000h9ra,670
usp000ha59,701
ci14607652,2910
usp000hat0,936
usp000hb6a,740
usp000hbbt,773
usp000hbws,682
usp000hc4u,650
usp000hcbx,652
usp000hchk,918
usp000hd4k,665
usp000hd6j,694
usp000hd84,804
usp000hde8,664
usp000hdwb,1144
usp000he3f,755
usp000he3n,670
usp000hej3,696
usp000hf8z,753
usp000hfdm,696
usp000hfka,737
usp000hfku,831
usp000hgmd,828
usp000hgmh,902
usp000hgmq,878
usp000hgnj,670
usp000hh3f,670
usp000hhfk,659
usp000hhhx,757
usp000hhuc,850
usp000hj05,945
usp000hj2j,733
usp000hj6r,670
usp000hk3k,650
usp000hk46,1313
usp000hmbq,772
usp000hncm,776
usp000hnj4,946
usp000hpc0,650
usp000hqaw,754
usp000hqdx,670
usp000hr7k,708
usp000hr97,850
usp000hrw0,820
usp000hsdc,761
usp000hsfq,1054
usp000hst4,655
usp000ht15,755
usp000htb4,1449
usp000huab,652
usp000huac,674
usp000huc2,988
usp000hugg,731
usp000huus,650
usp000hveq,650
usp000hvhj,972
usp000hvkh,650
usp000hvn3,702
official20110311054624120_30,2184
usp000hvp5,691
usp000hvpa,1155
usp000hvpc,670
usp000hvpd,650
usp000hvpg,931
usp000hvrd,650
usp000hvuu,673
usp000hw7r,650
usp000hyfx,1154
usp000hz7h,733
usp000hzf3,898
usp000hzf6,1112
usp000hzq8,822
usp000j06q,694
usp000j0eh,719
usp000j1a8,734
usp000j3k6,749
usp000j3mq,837
usp000j48h,893
usp000j4gp,868
usp000j5nv,691
usp000j5t4,675
usp000j6r4,817
usp000j6rb,650
usp000j6rj,788
usp000j6z8,913
usp000j78h,741
usp000j7dc,732
usp000j7ee,702
usp000j7jb,763
usp000j7nn,915
usp000j83e,822
usp000j84y,712
usp000j88b,1602
usp000j9as,653
usp000j9nm,845
usp000j9rr,1077
usp000ja1p,847
usp000jajd,914
usp000jb98,706
usp000jc1y,1410
usp000jc5z,834
usp000jcq2,670
usp000jcws,864
usp000jdar,847
usp000jdhq,670
usp000jeag,789
usp000jejw,1317
usp000jfdj,833
usp000jfqx,670
usp000jfzj,691
usp000jg7e,789
usp000jghj,1752
usp000jgm3,697
usp000jgsw,1526
official20120411083836720_20,2048
usp000jhjb,1213
usp000jhpj,1171
usp000jhr6,1000
usp000jj3u,691
usp000jj41,733
usp000jjaq,691
usp000jjqf,675
usp000jm15,691
usp000jpfh,691
usp000jpjk,652
usp000jq9h,944
usp000jqrz,678
usp000jqvm,994
usp000jr55,711
usp000jr83,1115
usp000jrsw,1519
usp000jta1,1221
usp000jtsk,670
usp000jtvw,674
usp000jucg,745
usp000juhz,1436
usp000jv5f,1432
usp000jvbq,795
usp000jvdf,708
usp000jvpf,650
usp000jwjn,1021
usp000jwt8,843
usp000jx85,691
ak0138esnzr,1425
usc000eyp3,771
usc000f03a,814
usc000f1s0,993
usc000f1se,776
usc000f1ts,754
usc000f3fx,691
usc000f3x8,711
usc000f40j,780
usc000f4ij,904
usc000f4n5,670
usc000f76f,670
usc000febi,736
usc000feww,651
usb000fij4,650
usb000g13s,755
usb000g6lc,670
usb000g7x7,1421
usb000g8my,672
usb000gbf8,804
usb000gcdd,2084
usb000gen8,650
usc000gw27,711
usb000h3k3,842
usb000h4jh,1115
usb000h543,691
usc000hpsd,710
usc000hrnr,679
usc000hzfk,670
usb000i89z,820
usb000i8ey,674
usb000ief9,820
usb000iivv,693
usb000j275,715
usb000j4iz,690
usb000jdt7,758
usb000jelf,668
usb000jgfc,739
usb000jgju,650
usb000jyiv,2015
usb000jzma,843
usb000k1gb,1005
usb000k2h2,650
usb000k3c1,691
usb000kbn7,691
usb000kdb4,1096
usb000kemb,711
usb000khbc,692
usc000kmfw,691
usc000kn4n,872
usb000kqnc,723
usb000kznc,732
usb000l0gq,912
usb000l51g,651
usb000l5zn,754
usc000lvb5,650
usc000mfm0,650
usc000mjye,650
usc000mnvj,733
usc000mskt,681
usb000mzmn,668
nc72182046,1211
usc000ndnj,719
usc000nzvd,1337
usc000nzwm,732
usc000p26f,670
usc000p27i,1061
usc000pft9,776
usc000pfuy,650
usc000pgsi,677
usc000phx5,889
usc000piqj,842
usc000pish,670
usb000pkxl,711
usb000pq41,1017
usb000pqwe,670
usb000pr89,865
usb000px6r,838
usb000q66s,670
usb000q98a,670
usb000qjhh,650
usb000qk64,694
usb000r2hc,953
usc000rfh2,650
